,brokerage_cash_value,sbux_value,ge_value,nrf_value,nsam_value,goog_value,mdor_value,bac_value,f_value,nat_value,usagx_value,bp_value,aapl_value,total_value
2017-09-01,347.17,,,,,,,,,487.784394,1417.2236300000002,3125.7,16400.0,21777.878023999998
2017-10-01,401.99,,,,,,,,,549.529254,1345.38753,3458.7,15412.0,21167.606784
2017-11-01,401.09,,,,,,,,,456.91196400000007,1310.49571,3660.3,16904.0,22732.797674
2017-12-01,464.32,,,,,,,,,410.60331900000006,1288.94488,3606.3,17185.0,22955.168199
2018-01-01,0.0,,,,,,,,,253.153926,1363.85967,3782.7000000000003,16923.0,22322.713596
2018-02-01,0.0,,,,,,,,,237.717711,1367.96459,3851.1,16743.0,22199.782301
2018-03-01,63.01,,,,,,,,,215.07792899999998,1256.10552,3497.4,17812.0,22843.593449
2018-04-01,119.74,,,,,,,,,199.641714,1285.86619,3648.6,16778.0,22031.847904000002
2018-05-01,119.86,,,,,,,,,193.467228,1310.49571,4013.1000000000004,16526.0,22162.922938
2018-06-01,192.86,,,,,,,,,243.892197,1320.75801,4123.8,18687.0,24568.310207000002
2018-07-01,247.88,,,,,,,,,275.79370800000004,1316.65309,4109.4,18511.0,24460.726798
2018-08-01,247.88,,,,,,,,,232.572306,1274.5776600000002,4059.9,19067.0,24881.929966
2018-09-01,321.2,,,,,,,,,235.65954900000003,1115.51201,3922.2,22503.0,28097.571559
2018-10-01,379.03,,,,,,,,,215.07792899999998,1096.0136400000001,4149.0,22574.0,28413.121569
2018-11-01,379.03,,,,,,,,,466.17369300000007,1348.46622,2195.1,25429.0,29817.769913
2018-12-01,453.31,,,,,,,,,303.57889500000005,1064.20051,3631.5,17858.0,23310.589405
2019-01-01,509.24,,,,,,,,,205.8162,1196.58418,3412.8,15774.0,21098.44038
2019-02-01,510.87,,,,,,,,,206.845281,1301.25964,3720.6000000000004,16652.0,22391.574921
2019-03-01,583.87,,,,,,,,,228.45598200000003,1309.46948,3855.6000000000004,17487.0,23464.395462
2019-04-01,644.79,,,,,,,,,207.87436200000002,1309.46948,3934.7999999999997,18995.0,25091.933842
2019-05-01,644.79,,,,,,,,,220.22333400000002,1228.39731,3935.7,20067.0,26096.110644
2019-06-01,722.9,,,,,,,,,209.932524,1247.89568,3664.7999999999997,17507.0,23352.528204000002
2019-07-01,722.9,,,,,,,,,240.804954,1421.32855,3787.2,20155.0,26327.233504
2019-08-01,783.29,,,,,,,,,207.87436200000002,1530.10893,3576.6000000000004,21304.0,27401.873292
2019-09-01,861.58,,,,,,,,,183.176418,1692.25327,3325.5000000000005,20874.0,26936.509688
2019-10-01,918.88,,,,,,,,,222.28149600000003,1530.10893,3419.1000000000004,22397.0,28487.370426
2019-11-01,918.88,,,,,,,,,392.07986100000005,1573.2105900000001,3461.4,24326.0,30671.570451
2019-12-01,998.28,,,,,,,,,392.07986100000005,1559.8696,3367.8,26725.0,33043.029461
2020-01-01,1056.3,,,,,,,,,506.307852,1710.7254100000002,3396.6000000000004,29364.999999999996,36034.933262
2020-02-01,1057.42,,,,,,,,,370.46916000000004,1688.14835,3332.7000000000003,32387.0,38835.73751
2020-03-01,1135.55,,,,,,,,,331.36408200000005,1547.55484,2816.1,27336.0,33166.568922
2020-04-01,63.45,,,,,,,,,466.17369300000007,1348.46622,2195.1,25429.0,29502.189913000002
2020-05-01,63.72,,,,,,,,,619.506762,1884.15828,2142.0,29380.0,34089.385042
2020-06-01,124.01,,,,,,,,,465.144612,1985.7550500000002,2086.929,31942.0,36603.838662
2020-07-01,216.38,,,,,,,,,423.981372,2136.6108600000002,2116.2599999999998,36571.0,41464.232232
2020-08-01,216.38,,,,,,,,,468.231855,2506.0536600000005,1983.6,42504.0,47678.265515
2020-09-01,216.38,,,,,,,,,448.67931600000003,2459.87331,1883.7,51616.0,56624.632626
2020-10-01,346.86,,,,,,,,,359.14926900000006,2289.51913,1571.4,46324.0,50890.928399
2020-11-01,346.86,,,,,,,,,299.462571,2174.5813700000003,1393.2,43544.0,47758.103941
2020-12-01,428.86,,,,,,,,,341.654892,2029.8829400000002,1899.0000000000002,46636.0,51335.397832
2021-01-01,461.84,,,,,,,,,303.57889500000005,2152.00431,1846.8,53076.0,57840.223205
2021-02-01,461.84,,,,,,,,,303.57889500000005,2152.00431,1846.8,53076.0,57840.223205
2021-03-01,461.84,,,,,,,,,305.637057,1854.3976100000002,2196.9,48504.0,53322.774667
2021-04-01,111.96,,,,,,,,,351.945702,1997.0435800000002,2212.2,49200.0,53873.149282
2021-05-01,111.96,,,,,,,,,340.625811,2041.1714700000002,2264.4,52584.0,57342.157281
2021-06-01,111.96,,,,,,,,,358.12018800000004,2316.20111,2360.7,49844.0,54990.981298
2021-07-01,229.92,,,,,,,,,337.538568,2001.1485,2377.8,54784.0,59730.407068
2021-08-01,229.92,,,,,,,,,254.18300700000003,2067.85345,2254.5,58867.99999999999,63674.45645699999
2021-09-01,317.92,,,,,,,,,259.328412,1920.07633,2187.9,61004.0,65689.224742
2021-10-01,346.95,,,,,,,,,296.375328,1738.4336200000002,2484.0,57060.0,61925.758948
